FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M2285,2,101000839,659121.55,299504.71,13173.06,50,44,,83761.25,2589,Markup,20201101,44,44,1.98,51,44,N,Y
M2285,2,101000839,659121.55,291331.6,13173.06,50,45,,83761.25,2589,Markup,20201201,45,45,1.98,51,45,N,Y
M2285,2,101000839,659121.55,283158.49,13173.06,50,46,,83761.25,2589,Markup,20210101,46,46,1.98,51,46,N,Y
M2285,2,101000839,659121.55,274985.38,13173.06,50,47,,83761.25,2589,Markup,20210201,47,47,1.98,51,47,N,Y
M2285,2,101000839,659121.55,266812.27,13173.06,50,48,,83761.25,2589,Markup,20210301,48,48,1.98,51,48,N,Y
M2285,2,101000839,659121.55,258639.16,13173.06,50,49,,83761.25,2589,Markup,20210401,49,49,1.98,51,49,N,Y
M2285,2,101000839,659121.55,250466.05,13173.06,50,50,,83761.25,2589,Markup,20210501,50,50,1.98,51,50,N,Y
M2285,2,101000839,659121.55,242292.94,13173.06,50,51,,83761.25,2589,Markup,20210601,51,999,0,51,51,N,Y
M2285,2,101000839,659121.55,650948.44,13173.06,50,1,,83761.25,2862,Amortitation,20170401,1,1,13036.29,51,1,Y,Y
M2285,2,101000839,659121.55,642775.33,13173.06,50,2,,83761.25,2862,Amortitation,20170501,2,2,6257.78,51,2,Y,Y
M2285,2,101000839,659121.55,634602.22,13173.06,50,3,,83761.25,2862,Amortitation,20170601,3,3,6323.44,51,3,Y,Y
M2285,2,101000839,659121.55,626429.11,13173.06,50,4,,83761.25,2862,Amortitation,20170701,4,4,6389.78,51,4,Y,Y
M2285,2,101000839,659121.55,618256,13173.06,50,5,,83761.25,2862,Amortitation,20170801,5,5,6456.82,51,5,Y,Y
M2285,2,101000839,659121.55,610082.89,13173.06,50,6,,83761.25,2862,Amortitation,20170901,6,6,6524.56,51,6,Y,Y
M2285,2,101000839,659121.55,601909.78,13173.06,50,7,,83761.25,2862,Amortitation,20171001,7,7,6593.01,51,7,Y,Y
